	Name	Purpose	Polarity	Subjectivity
101	Hoffman-Ramirez	Phased discrete concept for optimize innovative content	0.5	1.0
342	Horton-Carter	Progressive static toolset for engage clicks-and-mortar systems	0.5	0.9
419	Martin, West and Hays	Expanded static array for visualize synergistic info-mediaries	0.5	0.9
176	Mcclure Inc	Enhanced coherent moderator for enable next-generation e-services	0.5	0.7
357	Lucas, Brown and Adkins	Future-proofed coherent Graphical User Interface for repurpose strategic deliverables	0.5	0.7
484	Cooper, Mills and Mccarty	Innovative uniform policy for integrate back-end paradigms	0.5	1.0
17	Prince-Johnson	Realigned static support for mesh e-business solutions	0.5	0.9
330	Martin-Thomas	Horizontal coherent product for generate best-of-breed markets	0.5	0.7
321	Stokes and Sons	Mandatory motivating complexity for re-contextualize sexy platforms	0.5	1.0
359	Riddle LLC	Innovative full-range time-frame for orchestrate web-enabled users	0.5	1.0
148	Chavez-Johnson	Intuitive coherent solution for incubate cutting-edge channels	0.5	0.7
439	Avila, Davis and Perry	Innovative 6thgeneration ability for extend clicks-and-mortar methodologies	0.5	1.0
466	Johnson-Peterson	Decentralized attitude-oriented Graphical User Interface for generate sexy communities	0.5	1.0
404	Collins-Whitehead	Innovative content-based encryption for envisioneer interactive e-tailers	0.5	1.0
283	Smith-Curtis	Cloned contextually-based extranet for reinvent innovative web services	0.5	1.0
236	Hill-Martin	Proactive needs-based initiative for cultivate sexy paradigms	0.5	1.0
271	Le, Chan and Coleman	Ergonomic asynchronous alliance for cultivate sexy portals	0.5	1.0
414	Fox-Cowan	Innovative radical access for brand interactive info-mediaries	0.5	1.0
261	Brooks-Reynolds	Innovative full-range structure for incubate extensible markets	0.5	1.0
402	Miller and Sons	Advanced executive knowledge user for benchmark cutting-edge networks	0.4	0.6
465	Baldwin, Long and Santiago	Advanced intangible database for maximize real-time communities	0.4	0.6
405	Allen Ltd	Advanced homogeneous leverage for re-contextualize impactful interfaces	0.4	0.6
21	Mendoza Ltd	Advanced 3rdgeneration benchmark for drive real-time interfaces	0.4	0.6
86	Castro-Carlson	Advanced intermediate solution for harness B2B supply-chains	0.4	0.6
234	Ray Group	Advanced mission-critical help-desk for reinvent one-to-one technologies	0.4	0.6
177	Bowman, Jones and Davis	Realigned coherent success for redefine magnetic e-markets	0.4	0.35
156	Kelley, Mccarty and Padilla	Organized fault-tolerant encryption for reinvent rich interfaces	0.375	0.75
385	Carroll, Mann and Weeks	Self-enabling hybrid service-desk for seize rich platforms	0.375	0.75
493	Harmon-Cooper	De-engineered zero administration knowledgebase for deliver rich systems	0.375	0.75
